id,customer_id,sdc,call_summary,start_time,end_time
1,7,"My AutoMow 3000 stops working", "Customer reported that her AutoMow 3000 suddenly stopped operating. Agent walked her through a power-cycle and checked the onboard error log (connectivity fault). A ticket was opened and the customer was assured the issue would be resolved by 2024-01-10.",2024-01-09 09:15:03,2024-01-09 09:26:11
2,22,"Was asking about the expired Aquaspray X promotion.","Customer inquired about a recently expired promotional offer on the Aquaspray X robotic washer. Explained that the promotion had ended and recommended joining the mailing list to receive notifications on future deals. Customer accepted the suggestion. No further issues were reported. Resolution was expected immediately as no follow-up action was required.",2025-02-13 14:03:01,2025-02-13 14:14:44
3,37,"AutoMow Mini shuts down randomly while mowing.","Customer reported that the AutoMow Mini had powered off mid-mow for the first time. Initially assumed to be user error or a one-off fault. Customer was asked to observe further and report back if issue persists. Promised resolution if problem reoccurred within the week.",2024-09-24 10:30:00,2024-09-24 10:42:00
4,37,"AutoMow Mini shut down again mid-use.","Customer followed up to say the mower shut off again. We began a basic diagnostics process but did not escalate yet. Informed customer to keep device running under observation. Estimated resolution by early next week.",2024-10-10 11:05:00,2024-10-10 11:17:00
5,37,"Still having the same AutoMow Mini shutdown issue.","Customer expressed growing frustration as the mower continued shutting off. Noted that issue is now clearly persistent. Escalation initiated to product support team. Promised an update within 3 working days.",2024-10-12 15:20:00,2024-10-12 15:35:00
6,23,"My AquaSpray sprinkler stopped mid-cycle for the third time in two days.","Discussed the AquaSpray X sprinkler pausing mid-cycle. Customer was informed that the issue would be investigated further. Promised resolution date was set for tomorrow.",2025-03-15 09:15:00,2025-03-15 09:45:00
7,59, "My GrowMaster AI system is causing stress to my plants due to erratic temperature readings.", "Customer reported temperature fluctuations causing plant stress. Promised resolution by technical team investigation within 5 days.",2024-12-21 09:30:00,2024-12-21 10:00:00
8,54,"My SoilSense is not working correctly.","Customer reported that the sensor stops reporting soil moisture after rain events. Promised to look into the issue and get back to the customer by 2024-02-14.",2024-02-12 14:20:00,2024-02-12 14:50:00
9,61,"The AquaSpray Duo's cycles are too short and it's emptying quickly.","Customer called about the cycle duration issue. We discussed possible reasons and made a ticket to have the issue resolved as soon as possible.",2024-10-19 09:00:00,2024-10-19 09:15:00
10,50,"My AquaSpray X isn't turning on at the scheduled time.","Customer reported scheduling issues with AquaSpray X. Advised to check timer settings. Promised resolution by 2024-09-20.",2024-09-15 09:30:00,2023-09-15 09:45:00
11,50,"The water pressure from my Smart Sprinkler is too low.","Customer mentioned low water pressure issues with Smart Sprinkler. Suggested checking the water source and cleaning the filters. Promised resolution by 2024-09-27.",2024-09-22 14:00:00,2024-09-22 14:20:00
12,90,"My AutoMow Mini is acting up again, stopping and starting on its own.", "Customer reported issues with AutoMow Mini stopping and starting sporadically. Explained that no updates were applied recently. Promised to check hardware performance by 2024-09-25.",2024-09-24 09:30:00,2024-09-24 09:45:00
13,90,"The mower keeps stopping and starting without any reason.", "Customer reported recurring issues with AutoMow Mini stopping and starting unexpectedly. Reassured customer that diagnostics would check hardware performance and promised resolution by 2024-09-18.",2024-09-17 14:00:00,2024-09-17 14:20:00
14,92,"Hello, my GrowMaster AI system is not regulating humidity correctly.",Customer discussed persistent humidity control failures. Promised resolution date was set for 2023-10-17.,2023-10-14 08:30:00,2023-10-14 08:45:00
15,92,"Hi, I'm calling again about the humidity control issue with my GrowMaster AI system.",Customer reiterated ongoing issues with humidity swings. Promised resolution date was set for 2023-10-19.,2023-10-16 10:00:00,2023-10-16 10:20:00
16,92,"My GrowMaster AI system is still not handling humidity levels properly.",Customer continued to report humidity control problems. Promised resolution date was set for 2023-10-20.,2023-10-18 11:45:00,2023-10-18 12:05:00
