Customer_ID,Product_ID,Contract_duration,Monthly_price_init,Monthly_price,Start_date,End_date,Max_Amount,Amount
1,103,18,20,19,03/01/2024,03/07/2025,6,4
1,104,6,10,9,10/08/2023,10/02/2024,10,8
1,107,24,25,24,20/10/2024,20/10/2026,5,3
1,105,6,80,77,09/10/2024,09/04/2025,2,2
2,103,24,20,19,27/08/2023,27/08/2025,6,2
3,101,12,100,90,13/10/2023,13/10/2024,2,2
3,104,12,10,9,06/11/2023,06/11/2024,10,5
4,104,24,10,9,11/02/2023,11/02/2025,10,2
5,107,18,25,23,16/10/2024,16/04/2026,5,3
5,103,24,20,18,26/09/2024,26/09/2026,6,5
5,102,12,40,39,25/02/2024,25/02/2025,2,2
6,105,6,80,80,31/08/2024,28/02/2025,2,1
6,102,6,40,39,15/04/2024,15/10/2024,2,2
7,101,18,100,94,05/01/2023,05/07/2024,2,2
7,103,18,20,18,07/03/2023,07/09/2024,6,2
7,106,12,30,28,10/08/2024,10/08/2025,2,1
8,104,6,10,9,05/05/2023,05/11/2023,10,3
9,106,24,30,29,30/09/2024,30/09/2026,2,2
9,108,6,500,470,04/12/2024,04/06/2025,1,1
10,101,24,100,93,04/12/2024,04/12/2026,2,2
10,103,6,20,20,24/11/2023,24/05/2024,6,1
10,106,24,30,28,29/07/2024,29/07/2026,2,1
10,108,18,500,485,11/11/2023,11/05/2025,1,1
11,104,6,10,9,10/11/2024,10/05/2025,10,2
11,101,12,100,98,17/07/2023,17/07/2024,2,1
12,101,6,100,98,04/02/2025,04/08/2025,2,1
12,106,6,30,28,04/10/2024,04/04/2025,2,1
12,108,18,500,490,04/09/2023,04/03/2025,1,1
12,102,6,40,36,06/03/2024,06/09/2024,2,1
13,107,12,25,25,13/03/2023,13/03/2024,5,3
13,105,12,80,78,08/01/2024,08/01/2025,2,1
14,108,12,500,470,24/09/2024,24/09/2025,1,1
14,101,6,100,92,21/06/2023,21/12/2023,2,2
14,105,18,80,72,20/10/2023,20/04/2025,2,2
14,108,12,500,475,28/06/2023,28/06/2024,1,1
15,105,6,80,75,01/03/2024,01/09/2024,2,2
15,108,18,500,450,29/12/2023,29/06/2025,1,1
16,105,18,80,76,20/11/2023,20/05/2025,2,1
17,107,18,25,22,15/01/2025,15/07/2026,5,5
18,102,12,40,37,14/09/2023,14/09/2024,2,1
18,101,6,100,93,17/02/2024,17/08/2024,2,1
19,101,24,100,90,05/04/2024,05/04/2026,2,1
20,101,18,100,93,30/11/2023,30/05/2025,2,2
20,106,12,30,27,17/04/2024,17/04/2025,2,1
20,103,12,20,19,27/10/2024,27/10/2025,6,3
21,104,6,10,9,21/04/2024,21/10/2024,10,7
22,107,12,25,23,01/03/2024,01/03/2025,5,3
22,106,24,30,29,25/09/2024,25/09/2026,2,1
23,108,12,500,495,15/11/2023,15/11/2024,1,1
23,103,18,20,20,29/07/2024,29/01/2026,6,1
23,108,12,500,490,16/02/2024,16/02/2025,1,1
24,108,6,500,495,18/08/2024,18/02/2025,1,1
25,108,18,500,450,09/01/2024,09/07/2025,1,1
25,107,6,25,23,09/05/2023,09/11/2023,5,5
26,104,24,10,9,02/12/2024,02/12/2026,10,9
26,102,12,40,36,19/01/2024,19/01/2025,2,1
27,102,24,40,36,02/02/2025,02/02/2027,2,2
27,101,24,100,90,06/01/2025,06/01/2027,2,1
28,108,18,500,465,21/05/2023,21/11/2024,1,1
29,106,24,30,28,24/03/2023,24/03/2025,2,1
29,104,6,10,9,16/02/2025,16/08/2025,10,1
29,103,12,20,18,19/04/2024,19/04/2025,6,4
29,103,6,20,20,10/12/2024,10/06/2025,6,5
30,106,24,30,29,15/03/2024,15/03/2026,2,2
30,104,12,10,9,02/06/2024,02/06/2025,10,5
30,102,6,40,39,13/11/2024,13/05/2025,2,1
31,103,12,20,18,15/02/2024,15/02/2025,6,6
31,103,24,20,18,04/11/2023,04/11/2025,6,6
31,107,18,25,24,23/06/2024,23/12/2025,5,2
32,102,6,40,38,28/10/2023,28/04/2024,2,2
32,103,12,20,18,09/01/2023,09/01/2024,6,4
32,107,6,25,23,07/03/2024,07/09/2024,5,3
33,106,6,30,29,25/04/2024,25/10/2024,2,2
33,107,24,25,23,22/07/2023,22/07/2025,5,5
33,107,12,25,24,14/09/2024,14/09/2025,5,5
